CH06,edad2,educ,ingreso_total_familiar,ix_tot,horastrab,CH04,PP07H,PP03C,CAT_OCUP,CH07,informal
-0.8513830786528392,-0.8589922706053726,0.23145121223106466,-0.46041231757504486,-0.096744198436467,1.289997232037236,0,0,1,2.0,5.0,0
0.21689226718532417,0.08887292178175168,0.14774830808174813,-0.9761202595898324,-0.7352559081171498,0.4675038271225203,0,0,1,3.0,5.0,1
0.052542213979452884,-0.0758240166239749,-0.10336040436620142,0.9540583095117566,-0.096744198436467,-0.4724886356371546,0,1,1,3.0,3.0,0
0.21689226718532417,0.08887292178175168,-0.10336040436620142,0.14174377656938905,-0.096744198436467,-0.4724886356371546,0,1,1,3.0,1.0,0
-0.687033025446968,-0.7320383805842917,0.31515411638038116,3.4953358850470537,0.5417675112442158,-2.234974503311545,1,1,0,3.0,2.0,0
-0.35833291903522535,-0.4575434832414141,-0.6055778292621006,-0.9761202595898324,0.5417675112442158,-1.6474792140867482,0,0,1,3.0,5.0,1
-1.1800831850645819,-1.0923129333468187,-1.1077952541579996,0.36531658380123333,0.5417675112442158,-0.4724886356371546,0,1,1,3.0,2.0,0
-0.5226829722410966,-0.5982221181296389,-0.354469116814151,-0.9761202595898324,0.5417675112442158,1.289997232037236,1,0,1,2.0,1.0,0
-0.8513830786528392,-0.8589922706053726,-0.10336040436620142,0.2162680456466705,-0.096744198436467,0.40875429820004067,0,0,1,2.0,1.0,0
0.4634173469941311,0.34878527770328893,-0.6055778292621006,-0.5036363936398681,-0.096744198436467,-1.2949820405518702,0,1,1,3.0,5.0,0
-0.1118078392264184,-0.23365858259612954,-0.10336040436620142,-0.9761202595898324,-0.7352559081171498,0.702501942812439,1,0,1,2.0,1.0,0
0.2990672937882598,0.17379478064720444,-0.27076621266483447,-0.45445037604886235,-0.096744198436467,-0.11999146210227651,1,1,1,3.0,2.0,0
-0.029632812623482763,-0.15559909616424872,-0.7729836375607335,0.32060202235486446,1.1802792209248987,0.702501942812439,1,1,1,3.0,2.0,0
-0.19398286582935406,-0.3100024759196174,-0.354469116814151,-0.4917125105875031,0.5417675112442158,0.11500665358764223,0,0,1,3.0,3.0,1
-0.5226829722410966,-0.5982221181296389,0.14774830808174813,-0.15635329973973666,-0.096744198436467,-2.234974503311545,0,1,0,3.0,3.0,0
0.21689226718532417,0.08887292178175168,0.31515411638038116,1.4086563508831733,-0.096744198436467,0.702501942812439,1,1,1,3.0,3.0,0
0.13471724058238854,0.005666656024691899,-0.10336040436620142,-0.4768076567720468,3.0958143499669473,-0.9424848670169921,0,0,0,3.0,3.0,1
0.052542213979452884,-0.0758240166239749,-0.10336040436620142,-0.1638057266474648,1.1802792209248987,0.5850028849674797,1,1,1,3.0,2.0,0
0.5455923735970668,0.43885391589392064,0.31515411638038116,0.0121117914802211,-0.7352559081171498,0.5850028849674797,0,0,1,3.0,5.0,1
-1.5087832914763244,-1.298184106353977,0.14774830808174813,1.9303262344241432,-0.7352559081171498,-0.11999146210227651,1,1,1,3.0,1.0,0
