CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,CH14,CH15_COD,CH16_COD,PP03C,PP04B_COD,PP06H,PP07A,AÑO,CAT_OCUP,PP07H,informal,EMPLEO,edad2,CH12,CH13,educ,ingreso_total_familiar,horastrab,ix_tot
2.0,43.0,2.0,1.0,6.0,1.0,0.0,362500.0,,,,2.0,8501.0,0.0,6.0,2025,3.0,1.0,0,1.0,1849.0,7.0,1.0,17.0,1450000.0,20.0,4
1.0,47.0,2.0,1.0,6.0,1.0,0.0,362500.0,,,,2.0,9301.0,0.0,5.0,2025,3.0,2.0,1,2.0,2209.0,6.0,1.0,15.0,1450000.0,,4
1.0,33.0,5.0,1.0,6.0,1.0,0.0,0.0,,22.0,22.0,1.0,8401.0,0.0,5.0,2025,3.0,1.0,0,1.0,1089.0,7.0,1.0,17.0,0.0,,2
2.0,30.0,1.0,4.0,5.0,1.0,0.0,485000.0,3.0,42.0,,1.0,8501.0,0.0,5.0,2025,3.0,2.0,1,2.0,900.0,7.0,2.0,15.0,970000.0,4.0,2
1.0,31.0,1.0,1.0,5.0,1.0,0.0,485000.0,3.0,,,1.0,6500.0,0.0,5.0,2025,3.0,1.0,0,1.0,961.0,7.0,2.0,15.0,970000.0,,2
2.0,48.0,3.0,1.0,4.0,1.0,0.0,369750.0,,,,1.0,4000.0,0.0,6.0,2025,3.0,1.0,0,1.0,2304.0,4.0,1.0,,1479000.0,40.0,4
2.0,58.0,3.0,1.0,5.0,1.0,0.0,592500.0,1.0,,,1.0,4802.0,0.0,6.0,2025,3.0,1.0,0,1.0,3364.0,6.0,2.0,13.0,2370000.0,24.0,4
2.0,38.0,5.0,1.0,6.0,1.0,0.0,592500.0,,,,1.0,8600.0,0.0,6.0,2025,3.0,1.0,0,1.0,1444.0,7.0,1.0,17.0,2370000.0,,4
2.0,28.0,5.0,4.0,6.0,1.0,0.0,592500.0,,,,1.0,4804.0,1.0,0.0,2025,2.0,0.0,0,2.0,784.0,7.0,1.0,17.0,2370000.0,,4
1.0,35.0,1.0,1.0,6.0,1.0,0.0,1250000.0,,,,1.0,6900.0,0.0,6.0,2025,3.0,2.0,1,2.0,1225.0,7.0,1.0,17.0,3750000.0,40.0,3
